USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Lab00829019_V1-0047.mov,,,UPLOADED,0:25:00,BOB,enter from right,landscape,stability,Diamnd scale,Prep,Panning,Light,,,,Cine,,,MILD,,,
Y,Lab00807301_V1-0048.mov,,,UPLOADED,0:33:23,ALICE,enter from left,landscape,stability,Diamnd scale,Prep,Focus,Light,,,,Cine,,,MILD,,,
Y,"Lab00011340_V1-0051.mov
",,,UPLOADED,0:20:00,BOB,hard drives,landscape,stability,Growth,Prep,Still,Light,,,,,,Cine,MILD,,,
Y,Lab01410468_V1-0016.mov,,MOVED,UPLOADED,0:10:00,ALICE,whiteboard,graphic,stability,Out of Love,Transmission,Still,Light,-,,,25,Kyu,Cine,MILD,,,
Y,Lab01424478_V1-0020.mov,,MOVED,UPLOADED,0:10:00,BOB,Poster / dimamond communication,graphic,stability,Out of Love,Prep,Still,Light,-,,,25,Kyu,Cine,MILD,,,
N,Lab00000000_V1-0036.mov,,,UPLOADED,0:04:11,,close up de termometro,clock,stability,Bounderies,Prep,Still,Light,-,stabilized,,,,,MILD,,,
N,Lab00818011_V1-0050.mov,,,UPLOADED,0:43:07,,clean room pouring water for cleaning small jars,landscape,stability,Diamond Acid,Prep,Still,,,,,Cine,,,MILD,,,
N,"Lab01423482_V1-0052.mov
",,,UPLOADED,0:05:00,,poster / diamond cryostat blur,graphic,stability,Out of Love,Prep,Still,Light,-,,,25,Kyu,Cine,MILD,,,
,TOTAL TIME,,,UPLOADED,3:12:49,,,,,,,,,,,,,,,,,,
N,clanroom,,,UPLOADED,0:37:17,,3 scientificso hablando,landscape,suspense,Diamond Acid,Prep,Still,,-,,,,,,MILD,,,
Y,Lab00517855_V1-0053.mov,,,UPLOADED,0:19:05,ALICE,digital clock hidding in case,clock,suspense,Bounderies,Prep,Still,Light,-,,,,,,MILD,,,
Y,Table01081791_V1-0049.mov,,,UPLOADED,0:29:08,BOB,cables a reloj digital,clock,suspense,Bounderies,Prep,Panning,Dark,Red,can't fix panning movement,,,,,MILD,,,
Y,Table00957705_V1-0051.mov,,,UPLOADED,1:00:00,ALICE,Top view white flash light,landscape,suspense,Optic Table (A),Transmission,Top view,Semi,R/G,,,25,Kyu,Fish eye,MILD,,,
Y,Table00958930_V1-0050.mov,,,UPLOADED,1:00:00,BOB,Top view white flash light,landscape,suspense,Optic Table (A),Transmission,Top view,Semi,R/G,,,25,Kyu,Fish eye,MILD,,,
Y,Table00962005_V1-0052.mov,,,UPLOADED,1:00:00,ALICE,Top view color flash light,landscape,suspense,Optic Table (A),Transmission,Top view,Semi,,,,,,,MILD,,,
Y,Table00963505_V1-0053.mov,,,UPLOADED,1:00:00,BOB,Top view color flash light,landscape,suspense,Optic Table (A),Transmission,Top view,Semi,,,,,,,MILD,,,
Y,Table01309828_V1-0003.mov,,move in master,UPLOADED,0:31:02,BOB,"cube from top angle, red blinking",landscape,suspense,Cube,Transmission,Still,Dark,Red,,,,,,MILD,,,
Y,Table00992493_V1-0054.mov,,,UPLOADED,0:26:00,ALICE,"close up del top view, goes dark green bliking light",landscape,suspense,Optic Table (A),Transmission,Top view,Semi,R/G,,,25,Kyu,Cine,MILD,,,
Y,Table01320353_V1-0056.mov,,,UPLOADED,0:14:00,ALICE,"close up, cables con luz de linterna",landscape,suspense,Optic Table (A),Transmission,Still,Semi,-,,,,,Cine,MILD,,,
Y,Table00997068_V1-0055.mov,,,UPLOADED,1:08:16,BOB,"closeup top view. red cube with laser, flash light goes on",landscape,suspense,Optic Table (A),Transmission,Top view,Semi,R/G,,,25,Kyu,Cine,MILD,,,
Y,Table00010455_V1-0057.mov,,,UPLOADED,0:14:13,BOB,gold tower scilicon imprint,landscape,suspense,Tower,Transmission,Still,Light,,,,Cine,,,MILD,,,
Y,Table00010794_V1-0058.mov,,,UPLOADED,0:14:13,ALICE,"golden tower complete, shdows",landscape,suspense,Tower,Transmission,Still,Semi,,,,Cine,,,MILD,,,
Y,Table00011142_V1-0059.mov,,,UPLOADED,0:10:20,BOB,"close up with towel, cut top and bottom ",landscape,suspense,Tower,Transmission,Still,Semi,,,,Cine,,,MILD,,,
Y,Table00011402_V1-0060.mov,,,UPLOADED,0:23:10,ALICE,"infra red, scilicon imprint, cool flash light",landscape,suspense,Tower,Transmission,Still,Semi,,,,Cine,,,MILD,,,
Y,Table00011964_V1-0061.mov,,,UPLOADED,0:33:18,ALICE,"more close up, scilicon imprint, Neon chip design",landscape,suspense,Tower,Transmission,Still,Dark,,,,Cine,,,MILD,,,
Y,Table00012774_V1-0062.mov,,,UPLOADED,0:20:20,BOB,"close up, scilicon imprint, Neon chip design",landscape,suspense,Tower,Transmission,Still,Semi,,,,Cine,,,MILD,,,
,TOTAL TIME,,,UPLOADED,9:03:05,,,,,,,,,,,,,,,,,,
Y,Lab00000209_V1-0022.mov,,MOVED,UPLOADED,0:25:14,ALICE,growing diamond device,landscape,waiting,Growth,Prep,Still,Light,,,,,,Cine,MILD,,,
Y,Lab01407333_V1-0024.mov,,MOVED,UPLOADED,0:10:00,ALICE,corridor,landscape,waiting,Out of Love,Prep,Still,Light,-,,,25,Kyu,Cine,MILD,,,
Y,Lab00880976_V1-0046.mov,,move in master,UPLOADED,0:19:00,ALICE,trwisting / nice sun,landscape,waiting,Diamnd scale,Prep,Panning,,,,,,,,MILD,,,
Y,Lab00816061_V1-0049.mov,,,UPLOADED,2:00:00,BOB,panning white balls.,landscape,waiting,Diamnd scale,Prep,Panning,,,,,Cine,,,MILD,,,
N,A003_04290254_C006_D.mov,,move cleanroom,UPLOADED,3:34:00,,clean room blurry entrance,landscape,waiting,Diamond Acid,Prep,Still,,,,,Cine,,,MILD,,,
N,A003_04290254_C006_E.mov,,move cleanroom,UPLOADED,2:30:18,,clean room acid jar from the side,landscape,waiting,Diamond Acid,Prep,Still,,,,,Cine,,,MILD,,,
Y,Lab00000000_V1-0054.mov,,,UPLOADED,0:15:00,ALICE,Powersonic digital temperature,clock,waiting,Bounderies,Prep,Panning,Light,,stabilized,,,,,MILD,,,
Y,Lab00000000_V1-0055.mov,,,UPLOADED,0:39:00,ALICE,out of focus messuring termostat,clock,waiting,Bounderies,Prep,Focus,Light,-,stabilized,,,,,MILD,,,
Y,Lab00003784_V1-0056.mov,,,UPLOADED,0:00:27,ALICE,clean room sample shelves,human,waiting,Out of Love,Prep,Still,Light,-,,,,,Cine,MILD,,,
Y,Lab00004428_V1-0057.mov,,,UPLOADED,0:26:16,ALICE,clean room sample shelves,human,waiting,Out of Love,Prep,Panning,Light,-,,,,,Cine,MILD,,,
Y,Lab00497112_V1-0058.mov,,,UPLOADED,0:14:20,ALICE,caños,landscape,waiting,Out of Love,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00009998_V1-0059.mov,,,UPLOADED,1:20:10,ALICE,maquina de diamantes foil + caños,landscape,waiting,Diamond Acid,Prep,Still,,-,,,,,,MILD,,,
Y,Table01280056_V1-0063.mov,,,UPLOADED,0:14:17,BOB,"close, up doble digital screens",clock,waiting,Bounderies,Prep,Still,Dark,Red,,,,,,MILD,,,
Y,Table00000000_V1-0064.mov,,,UPLOADED,0:26:11,BOB,close up dgital,clock,waiting,Bounderies,Prep,Still,Dark,-,can't fix panning movement,,,,,MILD,,,
Y,Table01281810_V1-0065.mov,,MERGE,UPLOADED,0:30:00,BOB,"close up, digital screen, red light",clock,waiting,Bounderies,Prep,Still,Dark,Red,,,,,,MILD,,,
Y,Table01281809_V1-0066.mov,,MERGE,UPLOADED,,BOB,,,waiting,,,,,,,,,,,,,,
Y,Table01281810_V1-0067.mov,,MERGE,UPLOADED,,BOB,,,waiting,,,,,,,,,,,,,,
Y,Table01281805_V1-0068.mov,,MERGE,UPLOADED,,BOB,,,waiting,,,,,,,,,,,,,,
Y,Table01262683_V1-0070.mov,,,UPLOADED,0:09:00,BOB,digital doble clock ,clock,waiting,Bounderies,Transmission,Still,Dark,Red,,,24,Kyu,Cine,MILD,,,
,,,,,09:44:01,,,,,,,,,,,,,,,,,,
N,A001_04281802_C021.mov,,,UPLOADED,01:38:00,BOTH,entangelment lights,,entanglement,,,,,,,,,,,,,,
N,A001_04281809_C026.mov,,,UPLOADED,00:45:00,BOTH,entanglement cubos,,entanglement,,,,,,,,,,,,,,
N,A001_04281810_C027.mov,,,UPLOADED,00:42:00,,entanglement cubos,,entanglement,,,,,,,,,,,,,,
N,A001_04281845_C050.mov,,,UPLOADED,00:39:00,,entangelment lights,,entanglement,,,,,,,,,,,,,,
,TOTAL TIME,,,,03:44:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
N,LONELY.mp4,,,UPLOADED,,BOTH,,,lonely,,,,,,,,,,,,,,
N,STABILITY.mp4,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,CARING.mp4,,,UPLOADED,,BOTH,,,caring,,,,,,,,,,,,,,
N,COMMITMENT.mp4,,,UPLOADED,,BOTH,,,commitment,,,,,,,,,,,,,,
N,SUSPENSE.mp4,,,UPLOADED,,BOTH,,,suspense,,,,,,,,,,,,,,
N,DRAMA.mp4,,,UPLOADED,,BOTH,,,Drama,,,,,,,,,,,,,,
N,EXCITEMENT.mp4,,,UPLOADED,,BOTH,,,excitement,,,,,,,,,,,,,,
N,FLIRTING.mp4,,,UPLOADED,,BOTH,,,flirting,,,,,,,,,,,,,,
N,PRESSURE.mp4,,,UPLOADED,,BOTH,,,pressure,,,,,,,,,,,,,,
N,WAITING.mp4,,,UPLOADED,,BOTH,,,waiting,,,,,,,,,,,,,,
N,ENTANGLEMENT.mp4,,,UPLOADED,,BOTH,,,entanglement,,,,,,,,,,,,,,
N,TEST.mov,,,UPLOADED,,BOB,,,stability,,,,,,,,,,,,,,
N,prores_422_ffmpeg_1.mov,,,UPLOADED,,BOTH,,,Drama,,,,,,,,,,,,,,
N,prores_hq_ffmpeg_21.mov,,,UPLOADED,,BOTH,,,excitement,,,,,,,,,,,,,,
N,prores_ffmpeg_2.mov,,,UPLOADED,,BOTH,,,lonely,,,,,,,,,,,,,,
N,testfile_prores_4444.mov,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,prores_4444_422p10.mov,,,UPLOADED,,BOTH,,,Drama,,,,,,,,,,,,,,
N,testfile_prores_4444_422p12.mov,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,test_qv25_4444p12.mov,,,UPLOADED,,BOTH,,,flirting,,,,,,,,,,,,,,
N,Lab00000000_V1-0036.mov,,,UPLOADED,,BOTH,camera movement?,,stability,,,,,,,,,,,,,,
N,Lab00001393_V1-0041.mov,,,UPLOADED,,BOTH,,,flirting,,,,,,,,,,,,,,
N,dnxhd.mov,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
N,,,,UPLOADED,,BOTH,,,stability,,,,,,,,,,,,,,
