USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Table01293364_V1-0045.mov,,MOVED,UPLOADED,0:20:07,ALICE,mega close up mirron blink green light,landscape,commitment,Optic Table (A),Transmission,Still,Light,Red,,,,,,MILD,,,
N,Table01071265_V1-0048.mov,,MOVED,UPLOADED,0:37:21,ALICE,"close-up, good shot, darker vibe",landscape,commitment,Cube,Transmission,Still,Dark,-,,,,dark,,MILD,,,
Y,Lab01403885_V1-0023.mov,,MOVED,UPLOADED,0:10:00,ALICE,"close up,  Laser In",graphic,commitment,Out of Love,Transmission,Still,Light,-,,,25,Kyu,Cine,MILD,,,
Y,Table01227754_V1-0073.mov,,MOVED,UPLOADED,0:22:10,ALICE,"close, up digital screens 2 wires",clock,commitment,Bounderies,Prep,Still,Dark,R/G,,,,,,MILD,,,
Y,Table00003443_V1-0071.mov,,MOVED,UPLOADED,0:08:13,ALICE,drive con cable rojo,landscape,commitment,Cable,Transmission,Still,Semi,Red,,,,,Probe,MILD,,medio,
Y,Table00024316_V1-0047.mov,,MOVED,UPLOADED,0:05:16,ALICE,Sticker Alice,graphic,commitment,Optic Table (A),Transmission,Still,Semi,-,,,,christopher,,MILD,,,
Y,NINJA_S001_S001_T132.mov,,,UPLOADED,,ALICE,,,commitment,,,,,,,,,,,,,,
Y,Table00000000_V1-0041.mov,,,UPLOADED,0:15:06,BOB,red laser up red ball fore works  close up to lenses ,landscape,commitment,Optic Table (A),Transmission,Focus,Dark,Red,stabilized,,24,Kyu,Cine,MILD,,,
,TOTAL TIME,,,,5:31:13,,,,,,,,,,,,,,,,,,
Y,Table01315700_V1-0011.mov,,,UPLOADED,0:15:00,BOB,"close up, digital screen",clock,excitement,Bounderies,Prep,Still,Dark,-,,,,,,MILD,,,
Y,Table01282777_V1-0014.mov,,,UPLOADED,0:33:00,ALICE,close up dgital clock,clock,excitement,Bounderies,Prep,Still,Dark,Red,,,,,,MILD,,,
N,Table01282773_V1-0015.mov,,,UPLOADED,,,,,,,,,,,,,,,,,,,
Y,Table01083896_V1-0016.mov,,,UPLOADED,0:15:00,BOB,red laser cable,lights,excitement,Cable,Transmission,Still,Dark,Red,RETURN TO THIS ONE,,,,Cine,MILD,,,
Y,Table01250276_V1-0017.mov,,,UPLOADED,0:15:00,ALICE,red hard drive w/ cable + green flashing,lights,excitement,Cable,Transmission,Focus,Dark,R/G,,,,,Cine,MILD,,,
Y,Table01251492_V1-0018.mov,,,UPLOADED,0:15:12,BOB,red laser cables + bliking,lights,excitement,Cable,Transmission,Still,Dark,Red,,,,,Cine,MILD,,,
